verified,description,protected,url,public_metrics,created_at,location,profile_image_url,pinned_tweet_id,name,id,username
False,#DEMET • #HANKER • #TVDFOREVER • #TO • 28/06/2014 • N H L Z L,False,https://t.co/CRkl1Vh1az,"{'followers_count': 2846, 'following_count': 2378, 'tweet_count': 50885, 'listed_count': 123}",2013-02-27T20:14:29.000Z,49’ 31’ 38’ 1’,https://pbs.twimg.com/profile_images/1511046819333218312/YjMsecyh_normal.jpg,1397210380754202636,R O S ha visto Lou 🏠,1225942644,sorrisodizayn
False,me gusta mucho la tortilla de patatas con cebolla tiktok: ennehache11689204 ig: laia.nh,False,,"{'followers_count': 22, 'following_count': 32, 'tweet_count': 410, 'listed_count': 0}",2021-07-29T00:55:06.000Z,"Barcelona, Espanya",https://pbs.twimg.com/profile_images/1455520115328524289/feQfk8uJ_normal.jpg,,llególamami🤝,1420548349476868098,ennehache116
False,"Long term Environmentalist, recent convert to politics, got to stop the extreme right from taking over",False,,"{'followers_count': 2328, 'following_count': 2368, 'tweet_count': 52090, 'listed_count': 1}",2010-01-07T14:11:16.000Z,England,https://pbs.twimg.com/profile_images/1046458519057297408/aKPWkC33_normal.jpg,,Andrea Walker 🔶 🇪🇺🇬🇧 #FBPE #FBPA,102689288,SallyAnneWalker
False,Anti-Discrimination United Front Tokyo Committee,False,,"{'followers_count': 4717, 'following_count': 453, 'tweet_count': 450318, 'listed_count': 0}",2015-11-27T15:33:56.000Z,,https://pbs.twimg.com/profile_images/1267387499975897088/e1m_Gtlg_normal.jpg,745204975974780928,反差別統一戦線東京委員会,4378798994,Anti_Discrimina
False,"⠀
⠀⠀⠀⠀⠀⠀' 𝖙𝖎𝖑𝖑 𝖉𝖊𝖆𝖙𝖍 𝖉𝖔 𝖚𝖘 𝖕𝖆𝖗𝖙. ' 𝖔𝖍, 𝖜𝖍𝖆𝖙 𝖆 𝖏𝖔𝖐𝖊. . . ♡; @CURTAlNCALLS  , @KISSOFDXATH
⠀⠀⠀
⠀⠀⠀",False,https://t.co/B14em4Zstp,"{'followers_count': 740, 'following_count': 647, 'tweet_count': 11990, 'listed_count': 12}",2021-02-27T13:13:02.000Z,"N/SFW, layout by shuji ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀𝕴'𝐋𝐋 𝐓𝐀𝐊𝐄 𝐀 𝕭𝐈𝐓𝐄 𝐎𝐔𝐓 𝐎𝐅 𝐘𝐎𝐔𝐑 𝕳𝐄𝐀𝐑𝐓 𝐓𝐎𝐍𝐈𝐆𝐇𝐓.",https://pbs.twimg.com/profile_images/1524904121702273041/MKvLmmDF_normal.png,1461727321031856133,୭ ` 𝕿𝐇𝐄 𝐋𝐀𝐖,1365651109415706627,ETRNALAGONY
False,"Political communications, European affairs, South Caucasus, Artsakh. Passionate abt mediated #politics and #publicdiplomacy RT/follows ≠ endorsement",False,,"{'followers_count': 442, 'following_count': 417, 'tweet_count': 1410, 'listed_count': 0}",2020-10-02T21:54:39.000Z,,https://pbs.twimg.com/profile_images/1497590154915205125/PEhHoL1z_normal.jpg,,Sona Mkhitaryan,1312148891022884865,SonaMkhitar
False,,False,,"{'followers_count': 54, 'following_count': 30, 'tweet_count': 2332, 'listed_count': 0}",2020-12-31T02:06:49.000Z,,https://pbs.twimg.com/profile_images/1512561796925861894/RaH_6QQ0_normal.jpg,,lucy 🕸,1344464961544839168,garfieldscurl
False,Freelance journalist. Peacemaker. Philologist. Trying to get out of the alienation altogether. My opinion is mine. All truth is relative. #StandWithUkraine,False,,"{'followers_count': 219, 'following_count': 325, 'tweet_count': 4489, 'listed_count': 0}",2021-03-16T11:02:20.000Z,Tel Aviv,https://pbs.twimg.com/profile_images/1524009469419704323/F7BkuU-v_normal.jpg,1523644761416286210,Troy Maxson 🌻💙💛🌻,1371778767438422018,Reme_24022022
False,"Traductora e intérprete EN,FR,IT - ES 📚 |Se me pegan las canciones en menos de lo que canta un 🐓 | eliromerosch@gmail.com",False,,"{'followers_count': 278, 'following_count': 291, 'tweet_count': 5532, 'listed_count': 5}",2011-12-04T10:19:08.000Z,Madrid,https://pbs.twimg.com/profile_images/1329142397561925632/qwedYrGz_normal.jpg,1323303064242167808,Elisa 🌻,428097313,EliRomero10
False,,False,,"{'followers_count': 33, 'following_count': 284, 'tweet_count': 5675, 'listed_count': 0}",2017-07-22T14:09:06.000Z,"Valentz, Spanien",https://pbs.twimg.com/profile_images/1453619209355808768/MjsNJU8y_normal.jpg,,maricon perdido,888762834401808385,setebarcelona
False,"Comidista y serial lover. Madriliñeando.
Esto del twitter lo uso para divertirme.
Entre Madrid y A Limia.",False,,"{'followers_count': 285, 'following_count': 663, 'tweet_count': 23651, 'listed_count': 0}",2013-07-25T22:09:13.000Z,Madrid,https://pbs.twimg.com/profile_images/1482106287294930950/QjX6szJ6_normal.jpg,,Elena Twin 💚💉 🇺🇦,1621421815,GemelleElena
False,,False,,"{'followers_count': 0, 'following_count': 4, 'tweet_count': 94, 'listed_count': 0}",2022-04-23T19:55:15.000Z,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,Joel Belz,1517955057110634496,joelbelz1
False,"*رئيس مؤسس لذى "" مجمع أخضر التشاركي"" .
*إستشارات قانونية ، و دراسات جدوى للمقاولات.",False,,"{'followers_count': 25, 'following_count': 31, 'tweet_count': 1487, 'listed_count': 0}",2021-12-19T21:04:30.000Z,"L'Hospitalet de Llobregat, Esp",https://pbs.twimg.com/profile_images/1514713174121062402/6QnroZEn_normal.jpg,,ع.الرحمان البركي قدوري,1472673679247032322,QdwryAlbrky
False,Valencia Club de Fútbol,False,,"{'followers_count': 758, 'following_count': 2186, 'tweet_count': 15822, 'listed_count': 4}",2011-06-26T05:01:16.000Z,,https://pbs.twimg.com/profile_images/771018633036328960/N94tU6K9_normal.jpg,,Jose Juan Perez,324193556,jose_xiri91
False,"taki tam sportowo-polityczny świr. Motor i LUBLIN to miłość, sympatia wobec Heat z Majami!",False,,"{'followers_count': 10, 'following_count': 275, 'tweet_count': 754, 'listed_count': 0}",2018-01-14T09:32:11.000Z,"Lublin, Poland",https://pbs.twimg.com/profile_images/1289122349313413120/PpujbS8D_normal.png,,Marcin 2,952473410600304640,Marcin247
False,"《Una come te, come una rondine d'Aprile
vola solo quando ha un orizzonte da inseguire》.🌹
She/her.❣",False,,"{'followers_count': 1926, 'following_count': 3059, 'tweet_count': 389699, 'listed_count': 17}",2015-06-24T18:24:29.000Z,"Piemonte, Italia",https://pbs.twimg.com/profile_images/1475961799069646850/R1kREaOM_normal.jpg,1302724150923005952,Reb ♊︎ 💭🌺🌙,3344401349,RebsDiary
False,"Twitterer of Twitterings. All views the pigeon’s, befriended from the windowsill. Counter-dialectic in writing or by appointment, but none of your beak! ☝🏻",False,,"{'followers_count': 200, 'following_count': 1139, 'tweet_count': 16689, 'listed_count': 12}",2009-02-05T03:11:56.000Z,"Glasgow, Europe",https://pbs.twimg.com/profile_images/1146222821389099013/QVqVP4xZ_normal.jpg,1162641958646484992,A,20117067,AlanosaurusRex
False,,False,,"{'followers_count': 1150, 'following_count': 1164, 'tweet_count': 59890, 'listed_count': 0}",2010-07-29T20:12:52.000Z,"Santiago, Chile",https://pbs.twimg.com/profile_images/1299405980841594887/zf8AEy6D_normal.jpg,1273813424775012352,Marta 🇨🇱,172473599,ayymarta
