possibly_sensitive,lang,id,text,public_metrics,author_id,created_at,in_reply_to_user_id,withheld
False,en,1536039289602994181,"@martinmignot It feels like one of the biggest barriers to change in this space is a genuine inability for people to visualize what spaces not dominated by vehicles could look like. Some thoughts below: 

#dalle2 #ai #London  #Paris  #NewYork https://t.co/CFkdnHfJE1","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1491106070969741318,2022-06-12T17:34:39.000Z,36226695.0,
False,fr,1536039133596073989,"@lafemmeressort  - #LaRiviere (33) 08/07 https://t.co/w1YrXErnEs 
On va voir la fumée depuis #Paris 
@lafemmeressort ...Sacate la !
T'es con @ramirez ou quoi ?? /. t'as piqué nos #Champis ???
Fait gaffe...@Ramirez 
On se retrouve au concert , Facile à la riviere, 
Le chateau.
Pan https://t.co/WedhbKQzxd","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 1}",778315363347992576,2022-06-12T17:34:02.000Z,441982332.0,
False,en,1536039090784817155,"Im live right now! 😈

✅ https://t.co/UVdxxA90Vy

#drug_girl #France #Paris #Nantes #Toulouse #Bordeaux #Marseille #Rennes","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1530959117325844480,2022-06-12T17:33:52.000Z,,
False,en,1536039088175861760,"Im live right now! 😈

✅ https://t.co/jg7RsMoWnu

#drug_girl #France #Paris #Nantes #Toulouse #Bordeaux #Marseille #Rennes","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1530959117325844480,2022-06-12T17:33:51.000Z,,
False,ja,1536038988569534466,"ちなみにポテサラは、こんな風に粉吹き芋みたいに水分を飛ばすと、水っぽく無くなってさらに美味しくなります😋

#paris https://t.co/lKGu1PRyIj","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1280422053351489537,2022-06-12T17:33:27.000Z,1.2804220533514895e+18,
False,fr,1536038841898901504,L'attitude du fils de Mme #Hidalgo #maire de #Paris https://t.co/eN5WbVygHO,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1479015701113364483,2022-06-12T17:32:52.000Z,,
False,fr,1536038639225946112,Paris 9e - Cabaret du Ciel  à Paris 9e (Paris).  #CartePostaleAncienne #Paris 👉 https://t.co/ya00Ju5hGm https://t.co/lmFA9RG1NE,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1405930262651932674,2022-06-12T17:32:04.000Z,,
False,en,1536038608611602432,#Paris city of love https://t.co/wtsSGVqttU,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520541468808646657,2022-06-12T17:31:57.000Z,,
False,en,1536038592480526343,@ppsantyago @JezMex @sebpoule @dredgarbarragan @HIVDocSK @Boghuma @IdVilchez @jsmadero @BrendaCrabtreeR @cla_cor @DoctorOmarSued @tristanjbarber @khmayer1 recently published in #JAIDS a pilot study using #bictegravir #TAF and #FTC for PEP and it is now the recommended regimen in #Paris,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",757201003464757248,2022-06-12T17:31:53.000Z,8.840503503486525e+17,
False,en,1536038580279300101,Kim Dotcom Breaks Down the True Scale of US Government Debt #uspoli #cdnpoli #ukpoli #usmc #biden #trump #newyork #texas #hollywood #ndp #trudeau #paris #berlin #auspol #quebec #toronto #bcpoli  https://t.co/t5zrFHgZCV,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1519342936634372098,2022-06-12T17:31:50.000Z,,
False,und,1536038506052608005,#magasin #dame #course #paris #humour #fyp #pourtoi #parisien #rire #blague #drôle #fypforyou https://t.co/f52NLlxwcN,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1258375947524456448,2022-06-12T17:31:32.000Z,,
False,und,1536038475656470529,#Paris  #tourEiffel ????????????????? https://t.co/Ijgjpyh262,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1121494441892765696,2022-06-12T17:31:25.000Z,,
False,en,1536038229467709440,"Highest waiting times in #DLP:
Orbitron - 45 min
Autopia - 35 min
Buzz Lightyear Laser Blast - 35 min
Big Thunder Mountain - 30 min
Dumbo the Flying Elephant - 30 min
https://t.co/4WMKwmS4lW #DLP #DLPLive #DisneylandParis #Paris","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791590844050599936,2022-06-12T17:30:26.000Z,,
False,en,1536038160773402624,If you were streaming https://t.co/gQEZOjVGLt you’d be hearing Something Different (1961) by Cannonball Adderley and your ears would be filled with joy. Free internet radio playing 100 years of Jazz #jazz #music #free #listen #london #paris #cook #recipe https://t.co/zVmeTU8oeT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1489236832634167297,2022-06-12T17:30:10.000Z,,
False,fr,1536038107518230528,"Les bureaux de vote de #Paris sont encore ouverts à #Paris mais les propos échangés par N.#Hamadi et N.#Polony sur l'antenne de #BFMTV sont clairement du militantisme #politique.
▶️ Chez @Arcom_fr, quelqu'un compte réagir ou tout les membres ont tous #aquaponey aujourd'hui ? https://t.co/OnIIVqmJHR","{'retweet_count': 2, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",1338191723789475841,2022-06-12T17:29:57.000Z,,
False,en,1536038029860782080,#Paris shanzelize street https://t.co/MVNnSt7P1o,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1520541468808646657,2022-06-12T17:29:39.000Z,,
False,ja,1536038002421551105,"ポテサラが大好きな娘(4歳)
このマイユのマヨネーズで作ったポテサラが思い出の味になるんだろうか。

料理人パパの週末お家ご飯

#paris https://t.co/bouKfMFQTE","{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",1280422053351489537,2022-06-12T17:29:32.000Z,,
False,de,1536037790743416832,"🇫🇷 11.06.22 Demonstration in #Paris mit den #Gelbwesten für #Freiheit zur Abschaffung des Impfpasses!✊ 
#France #NoGreenPass #Protest #giletsjaunes https://t.co/uJAGnwJK3g","{'retweet_count': 8, 'reply_count': 0, 'like_count': 24, 'quote_count': 0}",1417414352999796743,2022-06-12T17:28:42.000Z,,
False,und,1536037067142184962,"https://t.co/DBoIbNkj1t

#Toulouse #Paris #Nice #Marseille #Bordeaux #Lyon #versailles @paris #France #amour #vinted @vinted @Vintedfrance #parisienne #merci #bonjour #francais #homme
#Merveilleux #Brussels #Bruxelles #Gent #Brugge #Antwerpen","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1472160782620274690,2022-06-12T17:25:49.000Z,,
False,es,1536036993150369799,"El Colorado Liberman, de los pocos periodistas argentinos honestos: El #Merengue logró una #histórica victoria ante #Liverpool en #París https://t.co/l9xlE8gx4G vía @YouTube","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",214942445,2022-06-12T17:25:32.000Z,,
True,en,1536036404475699201,"I’ll post the family pics later but we were given access to a nice place to take some pics today so this may be my new profile pic. #toureiffel #paris #parisfrance #eiffeltower @ Tour Eiffel Paris France, https://t.co/QGOiJ8cR8I","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",890237098652991488,2022-06-12T17:23:11.000Z,,
False,ar,1536036367360307205,"الوان العلم الوطني #الجزائري 🇩🇿 تضيء في سماء 
Le Parc des Princes à #Paris hier soir 
@djsnake خلى الي ماشافش يشوف و الي ماسمعش يسمع 
#الجزائر كبيرة بكل ابناءها 
Merci Dj Snake 👏🙏 https://t.co/MwDRAk4xg5","{'retweet_count': 3, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}",1062802978749464577,2022-06-12T17:23:02.000Z,,
False,en,1536036258836844548,"@ExpertW91914771 Hit me up for all your essay dues 
essay due
finance
paper pay...
do my homework
online class
essay help
english
assignment.
math
biology
history.
coursework
articles
midterm exam
philosophy
calculus. Due
#paris saitn germain","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1522684042071711745,2022-06-12T17:22:36.000Z,1.5226840420717115e+18,
False,en,1536036106872946690,https://t.co/irfayVqZLK | https://t.co/VIOKGWlB8I | #nowplaying Kool and The Gang - Summer Madness - #smoothjazz #nola #newyork #losangeles #miami #london #paris #montecarlo,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",825790602830815233,2022-06-12T17:22:00.000Z,,
False,fr,1536035873367670785,"✌Que des #bonnesvibes #EnCeMomentSur :

 ➡️ https://t.co/M4Pwl2Zpth

Aya Nakamura, Damso - Dégaine

#Paris #Radio #FêteDeLaMusique #music #FDLM2022

➡Téléchargez l'appli android : https://t.co/2wkbN4srb0 https://t.co/l1BRqgZvxI","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",971844112575057920,2022-06-12T17:21:05.000Z,,
False,en,1536035622065950725,"Party People it’s Funky House Disco 
Live from Chicago 
Every Saturday and Sunday 9:00am-10:00am and 1:00pm-2:00pm 
Central Standard Time
Chicago’s Very Own DJ TP Corleone 
TP Sizzles Mix Show on Chicago Sizzle Radio
https://t.co/8eqKSyFFj2
#Chicago #Paris #disco #housemusic https://t.co/0HdcfF0Zuo","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1022584389904084993,2022-06-12T17:20:05.000Z,,
False,fr,1536035359514951680,"Pure THC passer vos commande. télégramme 👉https://t.co/83K3AlRHqM
WhatsApp 👉+33754269933
Wickr me:👉 dealspro20

#beuh #cannibis #chanvre #CannabisCommunity  #shit #paris
#marseille #Nantes
#toulouse #bordeaux #AgentsofSHIELD https://t.co/guV6Ruz4ND","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1536032286684106753,2022-06-12T17:19:02.000Z,,
False,fr,1536035274240798720,On se sent vraiment à #Paris dans #APlagueTale . Ils ont bien compris l'atmosphère de la capitale. https://t.co/hnnYbJ2h4J,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1502621649962688516,2022-06-12T17:18:42.000Z,,
False,fr,1536035233728012289,Hyante et Climène à leur toilette (vers 1600) de l'atelier de Toussaint Dubreuil (1558-1602) @MuseeLouvre #Paris https://t.co/6AOXNrS3N5,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1936604210,2022-06-12T17:18:32.000Z,,
False,fr,1536034871445004288,Paris Revue du 14 Juillet à Paris (Paris).  #CartePostaleAncienne #Paris 👉 https://t.co/fxD6Zgzouj https://t.co/YuWKcznnQq,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1405930262651932674,2022-06-12T17:17:06.000Z,,
False,en,1536034753467531264,"Download https://t.co/O5rpYwCQT1. https://t.co/GOT45wZLpG
#alamy #ilonabarnabiphotonews #alamylivenews #sainttropez #rolexgiragliacup #voliles #paris #stmalo #festivaldecannes #paloznakijazzpiknik #balaton #budapest https://t.co/M6QW5ZMlGk","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",367544549,2022-06-12T17:16:38.000Z,,
False,ja,1536034723759157249,"フランソワ・ピカール @mperelman 🔴15人の閣僚がホットシートに座っている：彼らはこの立法2022で政府の職を賭けているのだ。このような状況の中、「La République en Marche」本部から、 @DelanoDSouza がお伝えします。
 #Paris⤵️ https://t.co/mpSH1VexnN
https://t.co/4TcPkTVXTD","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1220711048149291008,2022-06-12T17:16:30.000Z,,
False,en,1536034485506129920,"#Paris peeps. Here for a day and a bit.

Let me know any bistro recommendations and sights you think I should see.","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",26406149,2022-06-12T17:15:34.000Z,,
False,en,1536034428341956609,"Im live right now! 😈

✅ https://t.co/SUxfXKgmSM

#simoncouple1 #France #Paris #Nantes #Toulouse #Bordeaux #Marseille #Rennes","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1530939532908150785,2022-06-12T17:15:20.000Z,,
False,fr,1536034347429543939,Fait divers - Le gang du RER interpellé après vingt cambriolages dont certains dans les Yvelines - Echo Républicain #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/Wz1QCGbDgG,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1287483433023942661,2022-06-12T17:15:01.000Z,,
False,en,1536034277649174528,"Supporting Artist - T-Shirts &amp; Hoodies - vulpies line https://t.co/nsw3r0NQoc

#print #paint #art #arte #tshirt #tshirts #hodie #hodies #newyork #nyc #uk #canada #sydney #paris #mexico #cmdx #madrid #barcelona #spain #españa #uio #malvac #malvacart #artmalvac https://t.co/G8SyFlAnGM","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1192643174218510336,2022-06-12T17:14:44.000Z,,
False,fr,1536034248217481216,"C’est parti ! Soirée @France2tv pour le moment , ici au #QG de la @NUPES_2022_ à #Paris @infofrance3 @infofrance2 https://t.co/5pVddAGgnk","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",386699942,2022-06-12T17:14:37.000Z,,
False,fr,1536034207780245504,"Découvrez mon premier titre « Assis au Soleil » #paris
 #sud #soleil #artiste #musique #music #jõa #scene #chanteurfrançais #photoshooting #happy #chanson #reggaeton #latino #pop #danse 
@manuelapromo https://t.co/Brf6M6mIiU","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1531190970120806400,2022-06-12T17:14:27.000Z,,
False,en,1536034061017292800,"In #Paris for a weekend and it's the usual thoughts upon visiting a major #European city, why is the public transport infrastructure so frightfully bad in #Dublin and #Ireland in general? The #French do it right.","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",304148106,2022-06-12T17:13:52.000Z,,
False,en,1536034048837136387,Here a @hypeTaxi #hydrogen fuel cell taxi in #Paris at the Pont d'Alma hydrogen refueling station. https://t.co/FaD8nEiufu,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 4, 'quote_count': 0}",2823694738,2022-06-12T17:13:50.000Z,2823694738.0,
False,en,1536033937021145089,"🗣 ""This is Mr. #Putin the beautiful person you had killed""

A rally in memory of #FredericLeclercImhoff, killed in #Ukraine in a #Russian bombing, was organized Friday night in #Paris

⤵️
https://t.co/ILfaDBzxQQ https://t.co/Yi02ZKFtXw","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1193929980952100864,2022-06-12T17:13:23.000Z,,
False,fr,1536033860147888130,"Il reste 40 min pour voter dans les grandes villes !!!

#NUPES 
#VcommeVictoire 
#Mélenchon 
#legislatives 
#legislative2022 
#Marseille 
#Paris 
#Toulouse 
#Lyon 
#Strasbourg 
#saintdenis 
#StadeDeFrancegate https://t.co/JaWJUXVV44","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1352574787827232768,2022-06-12T17:13:05.000Z,,
False,en,1536033788391825408,"@FrancoisPicard @mperelman 🔴 Fifteen cabinet ministers are in the hot seat: they are laying their jobs in the government on the line in these #Legislatives2022.

@DelanoDSouza tells is more from La République en Marche HQ in #Paris⤵️ https://t.co/uuBm5FExJ7","{'retweet_count': 6, 'reply_count': 2, 'like_count': 13, 'quote_count': 1}",25049056,2022-06-12T17:12:47.000Z,25049056.0,
False,en,1536033751062327296,I Love Paris iPad Smart Cover https://t.co/A3120HHYud via @zazzle 15 % off #ipadcover #Electronics #BastilleDay #Paris #14juillet #gifts,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",103915548,2022-06-12T17:12:39.000Z,,
True,fr,1536033716010614784,".@Werbernard, vous avez un logo (presque) à votre nom au Café Oz de Châtelet à #Paris ! https://t.co/M2qp2RKzar","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",985332728,2022-06-12T17:12:30.000Z,,
False,es,1536033639024185346,"#Francia, #Paris.

Los MENA de #SaintDenis la están liando de nuevo robando a los turistas que pasean por la plaza del Trocadero. Misma táctica de siempre: en manada contra los turistas. https://t.co/YFP8XGk3f8","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",987691995794681856,2022-06-12T17:12:12.000Z,,
False,en,1536033325189570561,"House Music Lover's: 
Do follow @u.nknown_musicgroup 🔥🔥
#Ibiza #abhudhabi #london #monaco #paris #milan #capetown #dubai #lasvegas #pretoria #lisbon #montenegro #riodejaneiro #johannesburg #montecarlo
https://t.co/0RU783T11S","{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1343615203217432577,2022-06-12T17:10:57.000Z,,
False,fr,1536033228263501824,"Je cherche à échanger ma place de concert pour Harry Styles à Anvers en catégorie 1 pour une place en catégorie 1 (ou mieux) à Paris, ça m’arrangerai fortement :)
DM pour plus d’infos #HarrysHouse #HarryStyles #LOT  #Paris #Antwerpen #loveontourparis #LoveOnTourAntwerpen","{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1162809018064261120,2022-06-12T17:10:34.000Z,,
False,en,1536033133841240065,"Second @BirdPen gig, first meet &amp; first gift...10 years &amp; a few days ago 😮 Amazing memories !! #114 #paris #globallows #crow https://t.co/6YDB6m8WAd","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",593847304,2022-06-12T17:10:11.000Z,,
False,en,1536033083530567681,"EMPTY LEG ALERT!!
Date available: 16 June 2022
Flight: Paris (LBG) – Rome (CIA)
Aircraft type: Citation CJ2+
Seats: 6
Flight time: 1h 55min 
Reserve this flight now: Tel: +44 1314780802 | Email:
jlcharter@jet-logic.com
#privatejet #jetcharter #emptyleg #Paris #Rome #LuxuryTravel https://t.co/ZqkkDnbE7a","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",994516170375159808,2022-06-12T17:09:59.000Z,,
False,en,1536032448101986305,@British_Airways #britishairways how can you sell a club Europe seat and take the full fare knowing that you are not giving lounge access and not inform us at point of sale. Then advise that lounge closes at 3pm and no vouchers for drink or food #paris #disgusted,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",196740359,2022-06-12T17:07:28.000Z,18332190.0,
False,fr,1536032430284480514,"des Suisses de se moquer de l'état d'insalubrité de la ville de #Paris 
#StadeDeFrance https://t.co/mYRcvkz6F1","{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",1339130886667825152,2022-06-12T17:07:24.000Z,,
False,fr,1536032408897724417,Il me reste une seul place en CATEGORIE1 pour le concert de harry styles #HarrysHouse #HarryStyles #Paris Harry Styles,"{'retweet_count': 0, 'reply_count': 3, 'like_count': 0, 'quote_count': 0}",1530241871074807812,2022-06-12T17:07:19.000Z,,
False,es,1536032305252270085,"@106th Ella es amiga de ambas y las apoya las quiere y siempre las ha admirado, creo que #Paris es una mujer muy muy madura y centrada más haya de la imagen que han creado los Medios","{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",933003254,2022-06-12T17:06:54.000Z,15613458.0,
False,fr,1536031979849883649,Un beau jour de printemps #Paris https://t.co/VUw5jsJgoO,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",224306682,2022-06-12T17:05:36.000Z,,
False,en,1536031908253114369,It's no longer possible to make a reservation as an annual passholder on 23-07-2022. #DLP #DLPLive #DisneylandParis #Paris,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791590844050599936,2022-06-12T17:05:19.000Z,,
False,en,1536031907267346435,It's no longer possible to make a reservation as an annual passholder on 02-07-2022. #DLP #DLPLive #DisneylandParis #Paris,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",791590844050599936,2022-06-12T17:05:19.000Z,,
False,fr,1536031612005240833,"Paris. Paris Paris : le Louvre l’Arc de triomphe la Tour Eiffel…
pour le reste je vous laisse apprécier…

#paris 
#Paris2024 
#Hidalgo 
#sachezle 

 https://t.co/iE5IoIliRY","{'retweet_count': 1, 'reply_count': 3, 'like_count': 4, 'quote_count': 0}",1258981226,2022-06-12T17:04:09.000Z,,
False,fr,1536031498737967105,"Mémorisez 📝 le nom de notre restaurant de spécialité libanaise 🇱🇧« RANNOUCH CITY »
nous sommes très heureux de vous accueillerez dans notre nouvelle branche.

#rannouch #Paris #France #liban #restaurant","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1536014241211326465,2022-06-12T17:03:42.000Z,,
False,en,1536031456828526594,"More #MarchForOurLives #Paris photos. Thanks to all who made time to tell Congress and the world Americans everywhere are FED UP with the GOP's absolute refusal to act on #GunViolence. 

📷 Owen Franken (group shot)
📷 @SeanCackoski (other photos)

#MarchForOurLivesJune11 #MFO https://t.co/alOQnb3ehE","{'retweet_count': 4, 'reply_count': 1, 'like_count': 7, 'quote_count': 1}",798574525,2022-06-12T17:03:32.000Z,,
False,ca,1536031418005987328,"Claude Monet .. Jardin de l'Infante au Louvre .. 1867 .. حديقة اللوفر  
١٨٦٧ .. #paris #france à Paris, France https://t.co/fkimQjv57a","{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",14700145,2022-06-12T17:03:22.000Z,,
False,und,1536031341799686147,Check out this item on OpenSea https://t.co/FtyC6hSYl4 μέσω @opensea #nft #nftart #opensea #paris #france #photography,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 6, 'quote_count': 3}",138497368,2022-06-12T17:03:04.000Z,,
False,fr,1536031278872637440,"La manifestation des milliers de français à Paris contre les violences de police, racisme et immigration illégale dans le pays 
#Paris #France https://t.co/zN5Ea6xznO","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1497594092011851777,2022-06-12T17:02:49.000Z,,
False,fr,1536031200929886208,"@Valeurs Quand je voyais les scènes de guérilla en plein #Paris en 2006, lorsque les malchances pour la #France venaient ""taper du blanc"", je disais ""il y aura une guerre civile dans 15 à 20 ans"" ON Y EST. Les #JO2024 seront le début, les événements du #StadeDeFrance ne seront rien à côté","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1513374149544087552,2022-06-12T17:02:31.000Z,112754792.0,
False,en,1536031141135785986,"Im live right now! 😈

✅ https://t.co/xGQuXFGK6a

#hotass01 #France #Paris #Nantes #Toulouse #Bordeaux #Marseille #Rennes","{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",1530935348439568384,2022-06-12T17:02:16.000Z,,
False,en,1536031095627595779,#Israel’s defense industry unveils new weapons at #Paris defense confab https://t.co/2vYU2McHwT,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",3026552801,2022-06-12T17:02:05.000Z,,
False,fr,1536031089076191232,Paris 4e Facade de Notre Dame-Les Trois PortailsGalerie des Rois à Paris 4e (Paris).  #CartePostaleAncienne #Paris 👉 https://t.co/5JdFlg57Zj https://t.co/IRtu3HTQBs,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1405930262651932674,2022-06-12T17:02:04.000Z,,
False,en,1536031081606139904,"KNOTLESS BRAIDS 
IG: Afro_chiic 💇🏾‍♀️
#Coiffureafro 
#Braids
#Paris
#IDF https://t.co/EvplgzHd76","{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",1342462479511793666,2022-06-12T17:02:02.000Z,,
False,fr,1536030889301495808,"@Troian_Leroy Voilà  à quoi ressemblait #Paris avant le passage d'@Anne_Hidalgo
#saccageparis https://t.co/sjOx9MDCBW","{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",53627944,2022-06-12T17:01:16.000Z,1.2692502941285458e+18,
